customer_key,customer_name,market_segment,account_balance,phone,address,nation_key,effective_date
1,Customer#000000001,BUILDING,711.56,25-989-741-2988,IVhzIApeRb ot c E,15,2024-01-01
2,Customer#000000002,AUTOMOBILE,121.65,23-768-687-3665,XSTf4 NCwDVaWNe6tEgvwfmRchLXak,13,2024-01-01
3,Customer#000000003,AUTOMOBILE,7498.12,11-719-748-3364,MG9kdTD2WBHm,1,2024-01-01
4,Customer#000000004,MACHINERY,2866.83,14-128-190-5944,XxVSJsLAGtn,4,2024-01-01
5,Customer#000000005,HOUSEHOLD,794.47,13-750-942-6364,KvpyuHCplrB84WgAiGV6sYpZq7Tj,3,2024-01-01
6,Customer#000000006,AUTOMOBILE,7638.57,30-114-968-4951,sKZz0CsnMD7mp4Xd0YrBvx,20,2024-01-01
7,Customer#000000007,BUILDING,9561.95,28-190-982-9759,TcGe5gaZNgVePxU5kRrvXBfkasDTea,18,2024-01-01
8,Customer#000000008,BUILDING,6819.74,17-147-757-8036,I0B10bB0AymmC,17,2024-01-01
9,Customer#000000009,FURNITURE,8324.07,8-338-906-3675,xKiAFTjUsCuxfeleNqefumTrjS,8,2024-01-01
10,Customer#000000010,HOUSEHOLD,2753.54,24-852-489-8585,6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2,5,2024-01-01
